,unlevered_ret,static_ret,static_equity,dyn_leverage,dyn_ret,dyn_equity,dyn_peak_equity,dyn_target_notional,dyn_notional_held,dyn_notional_capped,dyn_drawdown
2021-04-19,-0.0002635120003884328,-0.007905360011652984,4019387.921153767,30.0,-0.007905360011652984,4254802.358146228,4288706.124040953,128661183.72122858,128661183.72122858,False,-0.007905360011653095
2021-04-20,-0.00047611473294861817,-0.014283441988458545,3961977.2269528564,30.23905058125541,-0.014397257492114176,4193544.873017942,4288706.124040953,128661183.72122858,128661183.72122857,False,-0.02218880200011164
2021-04-21,0.0011332715847061081,0.03399814754118324,4096677.1132696075,30.68076952009239,0.03476964429403796,4339352.936583863,4339352.936583863,128661183.72122858,128661183.72122858,False,0.0
2021-04-22,-8.884890172256021e-05,-0.0026654670516768064,4085757.555402829,30.0,-0.0026654670516768064,4327786.534305802,4339352.936583863,130180588.09751588,130180588.09751588,False,-0.0026654670516766954
2021-04-23,0.0010179112227703957,0.03053733668311187,4210525.709477733,30.080177722628246,0.030618950486791335,4460298.815917113,4460298.815917113,130180588.09751588,130180588.09751588,False,0.0
2021-04-26,0.0010677556821494516,0.03203267046448355,4345400.09201167,30.0,0.03203267046448355,4603174.098060512,4603174.098060512,133808964.47751339,133808964.47751339,False,0.0
2021-04-27,-0.001352075221113691,-0.04056225663341073,4169140.8583046454,29.999999999999996,-0.040562256633410725,4416458.968966712,4603174.098060512,138095222.94181535,138095222.94181535,False,-0.04056225663341084
2021-04-28,-0.00022461393374639815,-0.006738418012391945,4141047.444448846,31.268313350621824,-0.007023298863298187,4385440.857710165,4603174.098060512,138095222.94181535,138095222.94181535,False,-0.04730067464580279
2021-04-29,0.0030626757453082742,0.09188027235924823,4521528.011497375,31.489473332886547,0.09644204620916333,4808381.747557001,4808381.747557001,138095222.94181535,138095222.94181535,False,0.0
2021-04-30,-0.0013908803641737855,-0.041726410925213564,4332860.875679771,30.0,-0.041726410925213564,4607745.234873141,4808381.747557001,144251452.42671004,144251452.42671004,False,-0.041726410925213564
2021-05-03,-0.0030260599746849692,-0.09078179924054908,3939515.969526581,31.306299518246156,-0.09473473992766403,4171231.688394501,4808381.747557001,144251452.42671004,144251452.42671004,False,-0.13250821016576264
2021-05-04,-0.002589587053089981,-0.07768761159269943,3633464.3830227633,34.58245985905236,-0.08955429031500597,3797679.9948008675,4808381.747557001,144251452.42671004,144251452.42671004,False,-0.21019582175846208
