,unlevered_ret,static_ret,static_equity,dyn_leverage,dyn_ret,dyn_equity,dyn_peak_equity,dyn_target_notional,dyn_notional_held,dyn_notional_capped,dyn_drawdown
2026-03-19,4.5714033879429294e-05,0.0015999911857800253,29482105.909231994,38.38522883512413,0.0017547436514385108,32572613.588802688,35660488.59443929,1248117100.805375,1248117100.805375,False,-0.0865909337573717
2026-03-20,-0.0009437062788597572,-0.0330297197600915,28508320.213112723,38.31799058441026,-0.03616092830779702,31394757.64402042,35660488.59443929,1248117100.805375,1248117100.805375,False,-0.1196206535174632
2026-03-23,-0.0008199947750949788,-0.028699817128324256,27690136.636360675,39.75558961013661,-0.03259937576113224,30371308.14265332,35660488.59443929,1248117100.805375,1248117100.805375,False,-0.14832047064578746
2026-03-24,0.0005700073445209508,0.01995025705823328,28242561.980233677,41.095269750746276,0.023424605582995042,31082744.056934576,35660488.59443929,1248117100.805375,1248117100.805375,False,-0.1283702135875543
2026-03-25,-0.0011594619841402976,-0.040581169444910414,27096445.78695543,40.15466261663341,-0.046557804789966004,29635599.72679534,35660488.59443929,1248117100.805375,1248117100.805375,False,-0.1689513830324646
2026-03-26,0.002051890761857633,0.07181617666501716,29042408.92458548,42.115466274059465,0.08641633617906933,32196599.675654422,35660488.59443929,1248117100.805375,1248117100.805375,False,-0.09713520636744744
2026-03-27,0.0003070046956461514,0.0107451643476153,29354474.3815308,38.765494287558056,0.011901188775324381,32579777.486317936,35660488.59443929,1248117100.805375,1248117100.805375,False,-0.08639004201983214
2026-03-30,-0.00019093643211642863,-0.006682775124075002,29158305.03035361,38.3095649235029,-0.0073146916424263264,32341466.460226655,35660488.59443929,1248117100.805375,1248117100.805375,False,-0.09307281714390714
2026-03-31,0.00018577257814711423,0.006502040235148998,29347893.502849717,38.591852423893705,0.007169307920259693,32573332.39187277,35660488.59443929,1248117100.805375,1248117100.805375,False,-0.08657077690875814
2026-04-01,-7.080792496638733e-05,-0.0024782773738235564,29275161.28241222,38.31714501267262,-0.002713157528983505,32484955.80984968,35660488.59443929,1248117100.805375,1248117100.805375,False,-0.0890490542825817
