,unlevered_ret,static35_ret,static35_equity,static35_notional,dyn_leverage,dyn_ret,dyn_equity,dyn_peak_equity,dyn_target_notional,dyn_notional_held,dyn_notional_capped,static35_drawdown,dyn_drawdown
2026-02-09,0.0023694124488520263,0.08292943570982092,21978358.308564942,710334870.7993724,30.0,0.07108237346556079,20984675.595398027,20984675.595398027,587760832.834005,587760832.834005,False,0.0,0.0
2026-02-10,0.0016411864202525717,0.05744152470884001,23240828.720406115,769242540.799773,30.0,0.04923559260757715,22017868.534015212,22017868.534015212,629540267.8619409,629540267.8619409,False,0.0,0.0
2026-02-11,7.568067660779221e-05,0.0026488236812727273,23302389.577893127,813429005.2142141,29.999999999999996,0.002270420298233766,22067858.349658683,22067858.349658683,660536056.0204563,660536056.0204563,False,0.0,0.0
2026-02-12,-0.002178044788468614,-0.07623156759640148,21526011.891628288,815583635.2262595,30.0,-0.06534134365405841,20625914.83352455,22067858.349658683,662035750.4897605,662035750.4897605,False,-0.07623156759640137,-0.06534134365405853
2026-02-13,-0.0002308419348108215,-0.008079467718378752,21352093.17344444,753410416.2069901,32.097279361093534,-0.00740939806987828,20473089.21996756,22067858.349658683,662035750.4897605,662035750.4897605,False,-0.08369512482526364,-0.07226660169838317
2026-02-16,3.925482053235285e-05,0.0013739187186323498,21381429.213937417,747323261.0705553,32.336876148816465,0.0012693782697987118,20499077.314539038,22067858.349658683,662035750.4897605,662035750.4897604,False,-0.08243619640528699,-0.07108895708241258
2026-02-17,0.0006688051161576336,0.023408179065517176,21881929.53765394,748350022.4878095,32.29588045995658,0.021599650082434307,20941850.211545847,22067858.349658683,662035750.4897605,662035750.4897605,False,-0.06095769858670497,-0.05102480359768358
2026-02-18,0.0015946512548783431,0.05581279392074201,23103221.16152722,765867533.8178879,31.613049649488996,0.050411789294088995,21997566.35183867,22067858.349658683,662035750.4897605,662035750.4897605,False,-0.00854712413506542,-0.0031852659513331716
2026-02-19,0.0009698259191737169,0.03394390717108009,23887434.755987033,808612740.6534528,30.095863328737007,0.029187748316118926,22639625.782083265,22639625.782083265,662035750.4897605,662035750.4897605,False,0.0,0.0
2026-02-20,-0.00015131021470016215,-0.005295857514505675,23760930.305132274,836060216.4595462,30.0,-0.0045393064410048645,22536857.582948714,22639625.782083265,679188773.462498,679188773.462498,False,-0.005295857514505786,-0.0045393064410048645
2026-02-23,-0.0010890141102285478,-0.03811549385799917,22855270.71202666,831632560.6796296,30.13680017112808,-0.03281940062349659,21797211.425139233,22639625.782083265,679188773.462498,679188773.462498,False,-0.04320949714793787,-0.0372097297478613
2026-02-24,-0.0017479272883303976,-0.061177455091563915,21457043.414436113,799934474.9209331,31.159434122805894,-0.054464425192185764,20610038.834076483,22639625.782083265,679188773.462498,679188773.462498,False,-0.10174350516820474,-0.08964754839777311
2026-02-25,0.00022654393383869653,0.007929037684354379,21627177.12026401,750996519.5052639,32.95426946695182,0.0074655898418237105,20763904.930635754,22639625.782083265,679188773.462498,679188773.462498,False,-0.09462119557046722,-0.08285123038261233
2026-02-26,-0.0002131575559429777,-0.007460514458004219,21465827.252672456,756951199.2092403,32.71006950433492,-0.006972398470268959,20619130.71166058,22639625.782083265,679188773.462498,679188773.4624981,False,-0.10137578723088447,-0.08924595706090177
2026-02-27,0.0001329554158711055,0.004653439555488692,21565717.18230133,751303953.843536,32.93973848656973,0.004379516629167337,20709432.537491273,22639625.782083265,679188773.462498,679188773.4624978,False,-0.09719409377366472,-0.0852572945847685
2026-03-02,-0.0016891930961733248,-0.05912175836606637,20290714.06205839,754800101.3805466,32.79610738888814,-0.05539895818266881,19562151.550359994,22639625.782083265,679188773.462498,679188773.462498,False,-0.15056956641303554,-0.13593308746996813
2026-03-03,0.004126134927837866,0.1444147224743253,23220991.90213644,710174992.1720436,34.719533365950184,0.14325747929947924,22364576.071138967,22639625.782083265,679188773.462498,679188773.462498,False,-0.027899306085328313,-0.01214903963483216
2026-03-04,-0.0017585034393781118,-0.061547620378233914,21791795.107737705,812734716.5747755,30.36895362121249,-0.05340390939321653,21170220.277018163,22639625.782083265,679188773.462498,679188773.462498,False,-0.08772979056380625,-0.06490414281617551
2026-03-05,0.0012407418319702046,0.04342596411895716,22738124.82017399,762712828.7708197,32.082272389003315,0.039805817417699084,22012918.200057622,22639625.782083265,679188773.462498,679188773.462498,False,-0.04811357718203646,-0.027681887857069265
2026-03-06,0.0006122352718680446,0.02142823451538156,23225362.691260695,795834368.7060896,30.854099728618447,0.018889968135594477,22428741.52342816,22639625.782083265,679188773.462498,679188773.462498,False,-0.027716331681885586,-0.009314829701027816
2026-03-09,-0.003016755276324501,-0.10558643467135753,20773079.450741313,812887694.1941243,30.28207234690563,-0.09135360153056782,20379795.207464803,22639625.782083265,679188773.462498,679188773.462498,False,-0.130376297708784,-0.09981748799076295
2026-03-10,0.0026227056210996746,0.09179469673848861,22679937.97924664,727057780.775946,33.326574999817545,0.08740579558402137,22161107.421412688,22639625.782083265,679188773.462498,679188773.462498,False,-0.050549453680360235,-0.021136319357772715
2026-03-11,0.000554391050753944,0.01940368677638804,23120012.391903847,793797829.2736324,30.64778129301637,0.016990855674312414,22537643.599192843,22639625.782083265,679188773.462498,679188773.462498,False,-0.032126612669903465,-0.0045045878351545054
2026-03-12,0.003382554052050901,0.11838939182178154,25857176.5978934,809200433.7166346,30.135749128929444,0.1019358003276497,24835036.336975895,24835036.336975895,679188773.462498,679188773.462498,False,0.0,0.0
2026-03-13,0.0071012363800164735,0.24854327330057657,32283803.907844894,905001180.9262689,30.000000000000004,0.21303709140049423,30125820.243030824,30125820.243030824,745051090.1092769,745051090.1092769,False,0.0,0.0
2026-03-16,-0.0009989501828051583,-0.03496325639818054,31155056.994306326,1129933136.7745712,30.0,-0.02996850548415475,29222994.433862895,30125820.243030824,903774607.2909247,903774607.2909247,False,-0.03496325639818065,-0.02996850548415475
2026-03-17,-0.0022422203807085372,-0.0784777133247988,28710079.36288939,1090426994.8007214,30.926830901478482,-0.06934477055802163,27196532.589828327,30125820.243030824,903774607.2909247,903774607.2909247,False,-0.11069713331046149,-0.09723511690541087
